,year,label_child,count_child,label_hapmar,count_hapmar,label_income,count_x,label_divorced,count_y
289,1973,4,119,1,674,1,11,2,866
290,1973,4,119,1,674,2,38,1,126
291,1973,4,119,1,674,2,38,2,866
292,1973,4,119,1,674,3,50,1,126
293,1973,4,119,1,674,3,50,2,866
294,1973,4,119,1,674,4,46,1,126
295,1973,4,119,1,674,4,46,2,866
296,1973,4,119,1,674,5,45,1,126
297,1973,4,119,1,674,5,45,2,866
298,1973,4,119,1,674,6,30,1,126
299,1973,4,119,1,674,6,30,2,866
300,1973,4,119,1,674,7,63,1,126
301,1973,4,119,1,674,7,63,2,866
302,1973,4,119,1,674,8,115,1,126
303,1973,4,119,1,674,8,115,2,866
304,1973,4,119,1,674,9,295,1,126
305,1973,4,119,1,674,9,295,2,866
306,1973,4,119,1,674,10,142,1,126
307,1973,4,119,1,674,10,142,2,866
308,1973,4,119,1,674,11,85,1,126
309,1973,4,119,1,674,11,85,2,866
310,1973,4,119,1,674,12,72,1,126
311,1973,4,119,1,674,12,72,2,866
312,1973,4,119,2,293,1,11,1,126
313,1973,4,119,2,293,1,11,2,866
314,1973,4,119,2,293,2,38,1,126
315,1973,4,119,2,293,2,38,2,866
316,1973,4,119,2,293,3,50,1,126
317,1973,4,119,2,293,3,50,2,866
318,1973,4,119,2,293,4,46,1,126
319,1973,4,119,2,293,4,46,2,866
320,1973,4,119,2,293,5,45,1,126
321,1973,4,119,2,293,5,45,2,866
322,1973,4,119,2,293,6,30,1,126
323,1973,4,119,2,293,6,30,2,866
324,1973,4,119,2,293,7,63,1,126
325,1973,4,119,2,293,7,63,2,866
326,1973,4,119,2,293,8,115,1,126
327,1973,4,119,2,293,8,115,2,866
328,1973,4,119,2,293,9,295,1,126
329,1973,4,119,2,293,9,295,2,866
330,1973,4,119,2,293,10,142,1,126
331,1973,4,119,2,293,10,142,2,866
332,1973,4,119,2,293,11,85,1,126
333,1973,4,119,2,293,11,85,2,866
334,1973,4,119,2,293,12,72,1,126
335,1973,4,119,2,293,12,72,2,866
336,1973,4,119,3,25,1,11,1,126
337,1973,4,119,3,25,1,11,2,866
338,1973,4,119,3,25,2,38,1,126
339,1973,4,119,3,25,2,38,2,866
340,1973,4,119,3,25,3,50,1,126
341,1973,4,119,3,25,3,50,2,866
342,1973,4,119,3,25,4,46,1,126
343,1973,4,119,3,25,4,46,2,866
344,1973,4,119,3,25,5,45,1,126
345,1973,4,119,3,25,5,45,2,866
346,1973,4,119,3,25,6,30,1,126
347,1973,4,119,3,25,6,30,2,866
348,1973,4,119,3,25,7,63,1,126
349,1973,4,119,3,25,7,63,2,866
350,1973,4,119,3,25,8,115,1,126
351,1973,4,119,3,25,8,115,2,866
352,1973,4,119,3,25,9,295,1,126
353,1973,4,119,3,25,9,295,2,866
354,1973,4,119,3,25,10,142,1,126
355,1973,4,119,3,25,10,142,2,866
356,1973,4,119,3,25,11,85,1,126
357,1973,4,119,3,25,11,85,2,866
358,1973,4,119,3,25,12,72,1,126
359,1973,4,119,3,25,12,72,2,866
360,1973,5,52,1,674,1,11,1,126
361,1973,5,52,1,674,1,11,2,866
362,1973,5,52,1,674,2,38,1,126
363,1973,5,52,1,674,2,38,2,866
364,1973,5,52,1,674,3,50,1,126
365,1973,5,52,1,674,3,50,2,866
366,1973,5,52,1,674,4,46,1,126
367,1973,5,52,1,674,4,46,2,866
368,1973,5,52,1,674,5,45,1,126
369,1973,5,52,1,674,5,45,2,866
370,1973,5,52,1,674,6,30,1,126
371,1973,5,52,1,674,6,30,2,866
372,1973,5,52,1,674,7,63,1,126
373,1973,5,52,1,674,7,63,2,866
374,1973,5,52,1,674,8,115,1,126
375,1973,5,52,1,674,8,115,2,866
376,1973,5,52,1,674,9,295,1,126
377,1973,5,52,1,674,9,295,2,866
378,1973,5,52,1,674,10,142,1,126
379,1973,5,52,1,674,10,142,2,866
380,1973,5,52,1,674,11,85,1,126
381,1973,5,52,1,674,11,85,2,866
382,1973,5,52,1,674,12,72,1,126
383,1973,5,52,1,674,12,72,2,866
384,1973,5,52,2,293,1,11,1,126
385,1973,5,52,2,293,1,11,2,866
386,1973,5,52,2,293,2,38,1,126
387,1973,5,52,2,293,2,38,2,866
388,1973,5,52,2,293,3,50,1,126
389,1973,5,52,2,293,3,50,2,866
390,1973,5,52,2,293,4,46,1,126
391,1973,5,52,2,293,4,46,2,866
392,1973,5,52,2,293,5,45,1,126
393,1973,5,52,2,293,5,45,2,866
394,1973,5,52,2,293,6,30,1,126
395,1973,5,52,2,293,6,30,2,866
396,1973,5,52,2,293,7,63,1,126
397,1973,5,52,2,293,7,63,2,866
